,UserId,VenueId,Tags
0,[6],"[278, 278]","['baklava', 'falafel', 'hummus', 'lentil soup', 'schwarma', 'shwarma', 'west village', 'baklava', 'falafel', 'hummus', 'lentil soup', 'schwarma', 'shwarma', 'west village']"
1,[15],"[1329, 12508, 1070, 11660, 1254, 1254]","['bbq', 'bloody mary', 'breakfast', 'brunch', 'cupcake', 'trendy', 'banh mi', 'choice eats', 'com viet nam', 'goi cuon', 'pho', 'socialite', 'vietnamese', 'bar', 'tapas', 'chinese', ' dim sum', ' peruvian', 'wheelchair access', 'crudo', 'dave pasternack', 'joe bastianich', 'mario batali', 'nymag', 'seafood', 'wine', 'crudo', 'dave pasternack', 'joe bastianich', 'mario batali', 'nymag', 'seafood', 'wine']"
2,[25],"[16625, 47540]","['restaurant', 'baguette', 'bakery', 'bread', 'breakfast', 'brunch', 'cafe', 'coffee', 'lunch', 'organic', 'pastries', 'retail', 'salads', 'vegan', 'vegetarian']"
3,[72],"[73254, 73254, 12222, 12222, 5004, 5004, 16983, 4283, 4283]","['american', 'fried chicken', 'late night food', 'marrow', 'no reservations', 'oysters', 'pu pu platter', 'raw bar', 'american', 'fried chicken', 'late night food', 'marrow', 'no reservations', 'oysters', 'pu pu platter', 'raw bar', 'banksy', 'beer', 'burritos', 'byob', 'horchata', 'mexican', 'soho', 'tacos', 'yucca fries', 'banksy', 'beer', 'burritos', 'byob', 'horchata', 'mexican', 'soho', 'tacos', 'yucca fries', 'bbq', 'japanese food', 'korean food', 'bbq', 'japanese food', 'korean food', 'best foam', 'chandeliers', 'delicious', 'fancy', 'iced tea', 'pasta', 'salad', 'wine', 'dumplings', 'korean bbq', 'wheelchair access', 'dumplings', 'korean bbq', 'wheelchair access']"
4,[99],"[4529, 1316, 10786, 16699]","['#thrillist', 'bar', 'brunch', 'cocktail', 'date', 'dinner', 'hotel restaurant', 'upscale', 'bar', 'brunch', 'burger', 'burger conquest', 'champagne cocktails', 'cocktails', 'garden', 'good_mark', 'hipsters', 'kid friendly', 'kids menu', 'mac and cheese', 'open late', 'patio', 'polo dobkin', 'zagat', 'hotel restaurant', 'brunch', 'extensive wine menu', 'italian', 'panini', 'wine']"
5,[102],"[1376, 1376, 10965, 10814, 10814, 1372, 1372, 7594, 5608, 4513, 4513, 4513, 4513, 7578, 3246]","['bar scene', 'burgers', 'cafe', 'group dining', 'jean-georges restaurant', 'pizza', 'restaurant', 'bar scene', 'burgers', 'cafe', 'group dining', 'jean-georges restaurant', 'pizza', 'restaurant', 'a-list', 'bar seating', 'black tea soft serve ice cream', 'david chang', 'dessert', 'food & wine best new chef', 'fried chicken', 'homemade soda', 'kimchi', 'large-format', 'noodles', 'pork', 'pork belly', 'pork buns', 'prix fixe', 'ramen', 'slushies', 'soft serve ice cream', 'steamed buns', 'wheelchair access', 'zagat-rated', 'sushi', 'sushi', 'pasta', 'pasta', '$1 wifi', 'australians', 'beer', 'laptops', 'lounge', 'table service', 'vegemite', 'cheap beer', 'food', 'japanese', 'japanese food', 'japanese restaurant', 'late night', 'sake', 'yakatori', 'yakitori', 'biltong', 'brunch', 'food', 'restaurant', 'south african', 'south african wine', 'biltong', 'brunch', 'food', 'restaurant', 'south african', 'south african wine', 'biltong', 'brunch', 'food', 'restaurant', 'south african', 'south african wine', 'biltong', 'brunch', 'food', 'restaurant', 'south african', 'south african wine', 'all-you-can-drink', 'aussies', 'beer', 'brunch', 'seafood', 'bar', 'gold', 'italian food']"
6,[104],"[25597, 25597, 25597]","['coffee', 'coffee', 'coffee']"
7,[105],"[884, 15139, 15139, 11259, 44078, 1602, 9558]","['lobster roll', 'oysters', 'restaurant', 'seafood', 'sundae', 'west village', 'cheap', 'chinatown', 'chinese food', 'dumplings', 'good_mark', 'recommended', 'scallion pancake sandwiches', 'vegetarian', 'cheap', 'chinatown', 'chinese food', 'dumplings', 'good_mark', 'recommended', 'scallion pancake sandwiches', 'vegetarian', 'backyard', 'beer', 'biscuits', 'brooklyn', 'farming', 'firepit', 'fried chicken', 'hipsters', 'magazine', 'nyt', 'pizza', 'trendy', 'wood paneling', 'zagat-rated', 'bone marrow', 'burgers', 'cobble hill', 'cocktails', 'gastropub', 'kitchen open late', 'whiskey', 'wilkensons', 'wilkinsons doughnuts', 'great bands wednesdays', 'austrian', 'beer', 'free movie sundays', 'goulash', 'lunch', 'park slope lunch', 'warm atmosphere', 'zagat-rated', 'cocktails', 'cupcakes', 'prix fixe', 'sake', 'soft serve', 'soy', 'wsj']"
8,[129],[13394],"['bbq', 'margaritas', 'ty ku']"
9,[131],[10800],"['brunch', 'burger', 'cocktails', 'food', 'fried chicken', 'friendly service', 'happy hour', 'lunch', 'trendy']"
